LASTUPDATEDATE,BUILDINGNAMEID,BUILDINGID
2023/09/03 00:00:00,"1101366532","1100009406"
2023/09/03 00:00:00,"1101368060","1100009537"
2023/09/03 00:00:00,"1101368004","1100659904"
2023/09/03 00:00:00,"1101368089","1100009795"
2023/09/03 00:00:00,"1101366205","1100009748"
2023/09/03 00:00:00,"1101367968","1100009204"
2023/09/03 00:00:00,"1101366458","1100009701"
2023/09/03 00:00:00,"1101366674","1100009125"
2023/09/03 00:00:00,"1101366485","1100009476"
2023/09/03 00:00:00,"1101367875","1100009714"
2023/09/03 00:00:00,"1101366649","1100009056"
2023/09/03 00:00:00,"1101366460","1100009492"
2023/09/03 00:00:00,"1101367932","1101392525"
2023/09/03 00:00:00,"1101366651","1100009459"
2023/09/03 00:00:00,"1101366560","1100009797"
2023/09/03 00:00:00,"1101366653","1100009176"
2023/09/03 00:00:00,"1101368114","1100009162"
2023/09/03 00:00:00,"1101366332","1100009336"
2023/09/03 00:00:00,"1101368057","1100009284"
2023/09/03 00:00:00,"1101368613","1100002412"
2023/09/03 00:00:00,"1101366355","1100009790"
2023/09/03 00:00:00,"1101367822","1100009405"
2023/09/03 00:00:00,"1101366632","1100009388"
2023/09/03 00:00:00,"1101367896","1100009712"
2023/09/03 00:00:00,"1101366607","1100009017"
2023/09/03 00:00:00,"1101367712","1100009454"
2023/09/03 00:00:00,"1101366459","1100009270"
2023/09/03 00:00:00,"1101366377","1100009799"
2023/09/03 00:00:00,"1101366509","1100008295"
2023/09/03 00:00:00,"1101366580","1100009455"
2023/09/03 00:00:00,"1101366650","1100009095"
2023/09/03 00:00:00,"1101368005","1100009786"
2023/09/03 00:00:00,"1101366172","1100009516"
2023/09/03 00:00:00,"1101366353","1100009505"
2023/09/03 00:00:00,"1101366676","1100009153"
2023/09/03 00:00:00,"1101366354","1100009179"
2023/09/03 00:00:00,"1101367930","1100009769"
2023/09/03 00:00:00,"1101367877","1100009048"
2023/09/03 00:00:00,"1101366510","1100009127"
2023/09/03 00:00:00,"1101366331","1100009492"
2023/09/03 00:00:00,"1101368117","1100009136"
2023/09/03 00:00:00,"1101366507","1100009406"
2023/09/03 00:00:00,"1101367844","1100009405"
2023/09/03 00:00:00,"1101368003","1100009710"
2023/09/03 00:00:00,"1101366376","1100009464"
2023/09/03 00:00:00,"1101368119","1100009807"
2023/09/03 00:00:00,"1101366330","1100009505"
2023/09/03 00:00:00,"1101368058","1100009199"
2023/09/03 00:00:00,"1101367765","1100009352"
2023/09/03 00:00:00,"1101366309","1100009179"
2023/09/03 00:00:00,"1101367874","1100009454"
2023/09/03 00:00:00,"1101367961","1100009710"
2023/09/03 00:00:00,"1101366461","1100009125"
2023/09/03 00:00:00,"1101366484","1100009270"
2023/09/03 00:00:00,"1101368059","1100009073"
2023/09/03 00:00:00,"1101368115","1100009149"
2023/09/03 00:00:00,"1101366633","1100009001"
2023/09/03 00:00:00,"1101366533","1100009523"
2023/09/03 00:00:00,"1101367966","1100009473"
2023/09/03 00:00:00,"1101366308","1100009476"
2023/09/03 00:00:00,"1101365995","1100010265"
2023/09/03 00:00:00,"1101366232","1100009516"
2023/09/03 00:00:00,"1101366584","1100009137"
2023/09/03 00:00:00,"1101366352","1100009701"
2023/09/03 00:00:00,"1101367964","1100009117"
2023/09/03 00:00:00,"1101368034","1100009403"
2023/09/03 00:00:00,"1101368118","1100009794"
2023/09/03 00:00:00,"1101367715","1100009352"
2023/09/03 00:00:00,"1101367766","1100009048"
2023/09/03 00:00:00,"1101368116","1100009386"
2023/09/03 00:00:00,"1101367823","1100009388"
2023/09/03 00:00:00,"1101367962","1100009709"
2023/09/03 00:00:00,"1101367965","1100009503"
2023/09/03 00:00:00,"1101366582","1100009224"
2023/09/03 00:00:00,"1101367987","1100009307"
2023/09/03 00:00:00,"1101366026","1100010265"
2023/09/03 00:00:00,"1101366425","1100009464"
2023/09/03 00:00:00,"1101368086","1100009162"
2023/09/03 00:00:00,"1101366109","1100009748"
2023/09/03 00:00:00,"1101366664","1100012007"
2023/09/03 00:00:00,"1101366830","1100011763"
